serial,serialLabel,countryLabel,composerLabel,rarsRatingLabel,derivativeWorkLabel
http://www.wikidata.org/entity/Q18887,Сорвиголова Кик Бутовски,США,Энди Стермер,,
http://www.wikidata.org/entity/Q77522,Клуб Винкс,Италия,Питер Зиззо,,Мир Винкс
http://www.wikidata.org/entity/Q27120,Аладдин,США,Марк Уоттерс,,
http://www.wikidata.org/entity/Q39037,Волшебные покровители,Канада,Гай Мун,,Волшебные покровители: Fairly Odder
http://www.wikidata.org/entity/Q27120,Аладдин,США,Алан Менкен,,
http://www.wikidata.org/entity/Q77522,Клуб Винкс,Италия,Питер Зиззо,,Клуб Винкс: Тайна затерянного королевства
http://www.wikidata.org/entity/Q53093,Время приключений,США,,,Время приключений: Фионна и Пирожок
http://www.wikidata.org/entity/Q77522,Клуб Винкс,Италия,Питер Зиззо,,Клуб Винкс: Волшебное приключение
http://www.wikidata.org/entity/Q16538,Южный Парк,США,Primus,,
http://www.wikidata.org/entity/Q77522,Клуб Винкс,США,Angelo Poggi,,Winx Club: The Magic Is Back
http://www.wikidata.org/entity/Q77522,Клуб Винкс,США,Giovanni Cera,,Winx Club: The Magic Is Back
http://www.wikidata.org/entity/Q77522,Клуб Винкс,США,Angelo Poggi,,Волшебные Поппикси
http://www.wikidata.org/entity/Q77522,Клуб Винкс,США,Giovanni Cera,,Волшебные Поппикси
http://www.wikidata.org/entity/Q77522,Клуб Винкс,Италия,Питер Зиззо,,Судьба: Сага Винкс
http://www.wikidata.org/entity/Q77522,Клуб Винкс,США,Angelo Poggi,,Винкс Клуб: Тайна Моской Бездны
http://www.wikidata.org/entity/Q77522,Клуб Винкс,США,Giovanni Cera,,Винкс Клуб: Тайна Моской Бездны
http://www.wikidata.org/entity/Q39037,Волшебные покровители,Канада,Гай Мун,,The Fairly OddParents: A New Wish
http://www.wikidata.org/entity/Q77522,Клуб Винкс,США,Angelo Poggi,,Мир Винкс
http://www.wikidata.org/entity/Q77522,Клуб Винкс,США,Giovanni Cera,,Мир Винкс
http://www.wikidata.org/entity/Q77522,Клуб Винкс,Италия,Фабрицио Кастаниа,,Winx Club: The Magic Is Back
http://www.wikidata.org/entity/Q24060,Мотор-Сити,США,Стивен Бартон,,
http://www.wikidata.org/entity/Q77522,Клуб Винкс,Италия,Фабрицио Кастаниа,,Волшебные Поппикси
http://www.wikidata.org/entity/Q77522,Клуб Винкс,Италия,Фабрицио Кастаниа,,Винкс Клуб: Тайна Моской Бездны
http://www.wikidata.org/entity/Q5415,Дружба — это чудо,США,Калеб Чан,,
http://www.wikidata.org/entity/Q34397,Шоу Кливленда,США,Уолтер Мёрфи,,
http://www.wikidata.org/entity/Q39037,Волшебные покровители,США,Гай Мун,,Волшебные покровители: Fairly Odder
http://www.wikidata.org/entity/Q77522,Клуб Винкс,США,Angelo Poggi,,Клуб Винкс: Тайна затерянного королевства
http://www.wikidata.org/entity/Q77522,Клуб Винкс,США,Giovanni Cera,,Клуб Винкс: Тайна затерянного королевства
http://www.wikidata.org/entity/Q77522,Клуб Винкс,США,Питер Зиззо,,Winx Club: The Magic Is Back
http://www.wikidata.org/entity/Q77522,Клуб Винкс,США,Angelo Poggi,,Клуб Винкс: Волшебное приключение
http://www.wikidata.org/entity/Q77522,Клуб Винкс,США,Giovanni Cera,,Клуб Винкс: Волшебное приключение
http://www.wikidata.org/entity/Q77522,Клуб Винкс,США,Питер Зиззо,,Волшебные Поппикси
http://www.wikidata.org/entity/Q53091,Potatoes and Dragons,Франция,,,
http://www.wikidata.org/entity/Q53091,Potatoes and Dragons,Германия,,,
http://www.wikidata.org/entity/Q77522,Клуб Винкс,США,Питер Зиззо,,Винкс Клуб: Тайна Моской Бездны
http://www.wikidata.org/entity/Q77522,Клуб Винкс,США,Angelo Poggi,,Судьба: Сага Винкс
http://www.wikidata.org/entity/Q77522,Клуб Винкс,США,Giovanni Cera,,Судьба: Сага Винкс
http://www.wikidata.org/entity/Q77522,Клуб Винкс,Италия,Фабрицио Кастаниа,,Мир Винкс
http://www.wikidata.org/entity/Q886,Симпсоны,США,Альф Клаузен,,Симпсоны в кино
http://www.wikidata.org/entity/Q39037,Волшебные покровители,США,Гай Мун,,The Fairly OddParents: A New Wish
http://www.wikidata.org/entity/Q5415,Дружба — это чудо,США,Дэниэл Ингрэм,,
http://www.wikidata.org/entity/Q77522,Клуб Винкс,США,Питер Зиззо,,Мир Винкс
http://www.wikidata.org/entity/Q53091,Potatoes and Dragons,Канада,,,
http://www.wikidata.org/entity/Q20189,Смешарики,Россия,"Васильев, Сергей Александрович",0+,Малышарики
http://www.wikidata.org/entity/Q49181,Dooly the Little Dinosaur,Республика Корея,,,
http://www.wikidata.org/entity/Q77522,Клуб Винкс,Италия,Фабрицио Кастаниа,,Клуб Винкс: Тайна затерянного королевства
http://www.wikidata.org/entity/Q5415,Дружба — это чудо,США,Стеффан Эндрюс,,
http://www.wikidata.org/entity/Q83279,Губка Боб Квадратные Штаны,США,The Blue Hawaiians,12+,Губка Боб в бегах
http://www.wikidata.org/entity/Q114632,Доктор Плюшева,США,,,
http://www.wikidata.org/entity/Q83279,Губка Боб Квадратные Штаны,США,The Blue Hawaiians,12+,Губка Боб в 3D
http://www.wikidata.org/entity/Q130728,Уличные акулы,США,,,How I Used Lies About A Cartoon to Prove History Is Meaningless on the Internet
http://www.wikidata.org/entity/Q82986,Ace Ventura: Pet Detective,США,,,
http://www.wikidata.org/entity/Q214107,Утиные истории,США,Марк Мюллер,,DuckTales: The Quest for Gold
http://www.wikidata.org/entity/Q82617,Обычный мультик,США,Марк Мазерсбо,,Regular Show: The Movie
http://www.wikidata.org/entity/Q158869,Черепашки-ниндзя,США,Ральф Шакетт,,Черепашки навсегда
http://www.wikidata.org/entity/Q207746,Бен-10,США,Энди Стермер,,Бен-10: Наперегонки со временем
http://www.wikidata.org/entity/Q113676,Бен-10: Инопланетная сила,США,Parry Gripp,,
http://www.wikidata.org/entity/Q207627,Happy Tree Friends,США,,,
http://www.wikidata.org/entity/Q207746,Бен-10,США,Энди Стермер,,Бен-10
http://www.wikidata.org/entity/Q130801,Бернард,Республика Корея,,,
http://www.wikidata.org/entity/Q201358,Флинтстоуны,США,,,Флинтстоуны
http://www.wikidata.org/entity/Q230520,Назад в будущее,США,Алан Сильвестри,,
http://www.wikidata.org/entity/Q203707,Ким Пять-с-Плюсом,США,Кристина Милиан,,Ким Пять-с-плюсом
http://www.wikidata.org/entity/Q83978,Дэнни-призрак,Великобритания,Гай Мун,,
http://www.wikidata.org/entity/Q218524,Totally Spies!,Франция,,,Totally Spies! The Movie
http://www.wikidata.org/entity/Q201358,Флинтстоуны,США,,,Pebbles cereal
http://www.wikidata.org/entity/Q152278,Полицейская академия,Канада,Джон Дебни,,
http://www.wikidata.org/entity/Q203707,Ким Пять-с-Плюсом,США,Кристина Милиан,,"Ким Пять-с-плюсом: Подумаешь, трагедия"
http://www.wikidata.org/entity/Q165303,Гнуфы,Франция,,,
http://www.wikidata.org/entity/Q217679,Финес и Ферб,США,Дэнни Жакоб,,Финес и Ферб: Покорение 2-го измерения
http://www.wikidata.org/entity/Q230520,Назад в будущее,Франция,Алан Сильвестри,,
http://www.wikidata.org/entity/Q216991,Джонни Браво,США,,,
http://www.wikidata.org/entity/Q217674,Американский дракон: Джейк Лонг,США,,,
http://www.wikidata.org/entity/Q77522,Клуб Винкс,Италия,Angelo Poggi,,Winx Club: The Magic Is Back
http://www.wikidata.org/entity/Q201358,Флинтстоуны,США,,,The Flintstones on Ice
http://www.wikidata.org/entity/Q218524,Totally Spies!,Франция,,,The Amazing Spiez!
http://www.wikidata.org/entity/Q210311,Американский папаша!,США,Уолтер Мёрфи,,American Dad XXX
http://www.wikidata.org/entity/Q218524,Totally Spies!,Канада,,,Totally Spies! The Movie
http://www.wikidata.org/entity/Q214107,Утиные истории,США,Рон Джонс,,Утиные истории: Заветная лампа
http://www.wikidata.org/entity/Q112599,Road Rovers,США,Гордон Гудуин,,
http://www.wikidata.org/entity/Q127310,Эон Флакс,США,,,Эон Флакс
http://www.wikidata.org/entity/Q214107,Утиные истории,США,Рон Джонс,,Duck Tales
http://www.wikidata.org/entity/Q214107,Утиные истории,США,Рон Джонс,,Утиные истории
http://www.wikidata.org/entity/Q140680,Розовая пантера,США,Генри Манчини,,
http://www.wikidata.org/entity/Q216843,Огги и тараканы,Франция,"Ле Барс, Юг",,
http://www.wikidata.org/entity/Q214107,Утиные истории,США,Рон Джонс,,DuckTales 2
http://www.wikidata.org/entity/Q227103,Волшебство Хлои,Великобритания,,,
http://www.wikidata.org/entity/Q218524,Totally Spies!,Канада,,,The Amazing Spiez!
http://www.wikidata.org/entity/Q92413,Cybersix,Япония,Robbi Finkel,,
http://www.wikidata.org/entity/Q217679,Финес и Ферб,США,Дэнни Жакоб,,Финес и Ферб: Кэндис против Вселенной
http://www.wikidata.org/entity/Q201358,Флинтстоуны,США,,,Флинтстоуны в Рок-Вегасе
http://www.wikidata.org/entity/Q94428,Кунг-фу панда: Удивительные легенды,США,,,
http://www.wikidata.org/entity/Q126883,Непобедимая принцесса Ши-Ра,США,Шуки Леви,16+,
http://www.wikidata.org/entity/Q214107,Утиные истории,США,Рон Джонс,,DuckTales: The Quest for Gold
http://www.wikidata.org/entity/Q94953,Бен-10: Инопланетная сверхсила,США,Лолита Ритманис,,
http://www.wikidata.org/entity/Q199314,Зиг и Шарко,Франция,,12+,
http://www.wikidata.org/entity/Q130801,Бернард,Франция,,,
http://www.wikidata.org/entity/Q130801,Бернард,Испания,,,
http://www.wikidata.org/entity/Q185912,Ring Raiders,США,,,
http://www.wikidata.org/entity/Q186095,Hong Kong Phooey,США,,,
http://www.wikidata.org/entity/Q83978,Дэнни-призрак,США,Гай Мун,,
http://www.wikidata.org/entity/Q138678,Громокошки,Япония,,,
http://www.wikidata.org/entity/Q138678,Громокошки,США,,,
http://www.wikidata.org/entity/Q81285,Monk Little Dog,Франция,,,
http://www.wikidata.org/entity/Q83279,Губка Боб Квадратные Штаны,США,The Blue Hawaiians,12+,SpongeBob SquarePants Rock Bottom Plunge
http://www.wikidata.org/entity/Q165515,101 далматинец,США,Марк Уоттерс,,
http://www.wikidata.org/entity/Q92413,Cybersix,Канада,Robbi Finkel,,
http://www.wikidata.org/entity/Q214107,Утиные истории,США,Марк Мюллер,,Утиные истории: Заветная лампа
http://www.wikidata.org/entity/Q83279,Губка Боб Квадратные Штаны,США,The Blue Hawaiians,12+,SpongeBob Splash Bash
http://www.wikidata.org/entity/Q134200,Mouk,Франция,Матиас Дюплесси,,
http://www.wikidata.org/entity/Q150529,Котопёс,США,,,
http://www.wikidata.org/entity/Q83279,Губка Боб Квадратные Штаны,США,The Blue Hawaiians,12+,Вся правда о Губке Бобе
http://www.wikidata.org/entity/Q112956,The Adventures of Abney & Teal,Великобритания,,,
http://www.wikidata.org/entity/Q113346,Бен-10: Омниверс,США,,,
http://www.wikidata.org/entity/Q207746,Бен-10,США,Энди Стермер,,Accelerator
http://www.wikidata.org/entity/Q214107,Утиные истории,США,Марк Мюллер,,Duck Tales
http://www.wikidata.org/entity/Q214107,Утиные истории,США,Марк Мюллер,,Утиные истории
http://www.wikidata.org/entity/Q83279,Губка Боб Квадратные Штаны,США,The Blue Hawaiians,12+,Губка Боб Квадратные Штаны
http://www.wikidata.org/entity/Q214107,Утиные истории,США,Марк Мюллер,,DuckTales 2
http://www.wikidata.org/entity/Q152278,Полицейская академия,США,Джон Дебни,,
http://www.wikidata.org/entity/Q116195,Отчаянные герои,Канада,,,
http://www.wikidata.org/entity/Q201042,Школа Сюрикен,Франция,,,
http://www.wikidata.org/entity/Q279953,Mikrobi,Венгрия,Zoltán Pongrácz,,
http://www.wikidata.org/entity/Q717347,The Charlie Brown and Snoopy Show,США,Дезире Гойетт,,
http://www.wikidata.org/entity/Q239766,Редакай,Канада,,,
http://www.wikidata.org/entity/Q249056,Черепашки мутанты ниндзя,США,Деннис Браун,,Teenage Mutant Ninja Turtles: Saturday Morning Adventures
http://www.wikidata.org/entity/Q318049,Los Trotamúsicos,Испания,,,
http://www.wikidata.org/entity/Q714019,Эвоки,США,,,
http://www.wikidata.org/entity/Q319177,Город башмачков,Великобритания,,,
http://www.wikidata.org/entity/Q1103283,Nutri Ventures,Португалия,,,
http://www.wikidata.org/entity/Q248972,Том и Джерри. Детские годы,США,,,
http://www.wikidata.org/entity/Q581369,Чокнутый,США,Марк Уоттерс,0+,
http://www.wikidata.org/entity/Q699655,Громокошки,США,Bernard Hoffer,,Громокошки
http://www.wikidata.org/entity/Q324789,Janoschs Traumstunde,Германия,,,
http://www.wikidata.org/entity/Q325007,Страна троллей,Германия,,,
http://www.wikidata.org/entity/Q572451,Город собак,США,,,
http://www.wikidata.org/entity/Q289147,Yogi's Treasure Hunt,США,Хойт Куртин,,
http://www.wikidata.org/entity/Q257839,В мире животных,Великобритания,,12+,
http://www.wikidata.org/entity/Q254241,Дэйв-варвар,США,,,
http://www.wikidata.org/entity/Q249056,Черепашки мутанты ниндзя,США,Деннис Браун,,Teenage Mutant Ninja Turtles Adventures
http://www.wikidata.org/entity/Q581079,Shirt Tales,США,,,
http://www.wikidata.org/entity/Q579919,The Mysteries of Providence,Франция,,,
http://www.wikidata.org/entity/Q304290,"Ох, уж эти детки!",США,Kris Kross,,Rugrats Go Wild
http://www.wikidata.org/entity/Q586496,Аргай,Франция,Didier Julia,,
http://www.wikidata.org/entity/Q712610,SilverHawks,США,Bernard Hoffer,,
http://www.wikidata.org/entity/Q584608,Robotboy,Франция,,,
http://www.wikidata.org/entity/Q586139,Camp Candy,США,,,
http://www.wikidata.org/entity/Q1112918,Fangface,США,,,
http://www.wikidata.org/entity/Q586467,Небесная земля,Франция,,,
http://www.wikidata.org/entity/Q584608,Robotboy,Великобритания,,,
http://www.wikidata.org/entity/Q589097,Wally Gator,США,,,
http://www.wikidata.org/entity/Q285276,Лагерь Лазло,США,Таканори Арисава,,
http://www.wikidata.org/entity/Q285276,Лагерь Лазло,США,Тосихико Такахаси,,
http://www.wikidata.org/entity/Q259954,The Koala Brothers,Австралия,,,
http://www.wikidata.org/entity/Q259342,The Raggy Dolls,Великобритания,,,
http://www.wikidata.org/entity/Q259954,The Koala Brothers,Великобритания,,,
http://www.wikidata.org/entity/Q734576,Приключения мишек Гамми,США,,0+,
http://www.wikidata.org/entity/Q583616,Best Ed,Канада,,,
http://www.wikidata.org/entity/Q706306,Scan2Go,Япония,,,
http://www.wikidata.org/entity/Q711700,The Adventures of the Galaxy Rangers,Япония,,,
http://www.wikidata.org/entity/Q711700,The Adventures of the Galaxy Rangers,США,,,
http://www.wikidata.org/entity/Q249056,Черепашки мутанты ниндзя,США,Чак Лорри,,Teenage Mutant Hero Turtles in Turtle Challenge
http://www.wikidata.org/entity/Q1093912,Уолтер Мелон,США,,,
http://www.wikidata.org/entity/Q1093912,Уолтер Мелон,Франция,,,
http://www.wikidata.org/entity/Q733938,Настоящие охотники за привидениями,США,Шуки Леви,12+,
http://www.wikidata.org/entity/Q249056,Черепашки мутанты ниндзя,США,Чак Лорри,,Teenage Mutant Hero Turtles
http://www.wikidata.org/entity/Q1121222,Mighty Ducks,США,,,
http://www.wikidata.org/entity/Q732217,Боб и Бобек,Чехословакия,Petr Skoumal,,
http://www.wikidata.org/entity/Q1122047,Кряк-Бряк,США,,,
http://www.wikidata.org/entity/Q1095671,Itsy Bitsy Spider,США,,,
http://www.wikidata.org/entity/Q267624,Starcom: The U.S. Space Force,США,,,
http://www.wikidata.org/entity/Q717745,Шарки и Джордж,Франция,,,
http://www.wikidata.org/entity/Q285276,Лагерь Лазло,США,Кохэй Танака,,
http://www.wikidata.org/entity/Q718216,Арзак (мультфильм),Франция,,,
http://www.wikidata.org/entity/Q719856,"Эд, Эдд и Эдди",США,,,
http://www.wikidata.org/entity/Q586496,Аргай,Канада,Didier Julia,,
http://www.wikidata.org/entity/Q250036,Лига справедливости,США,,,
http://www.wikidata.org/entity/Q268438,Мультреалити,США,,,
http://www.wikidata.org/entity/Q249056,Черепашки мутанты ниндзя,США,Чак Лорри,,Teenage Mutant Ninja Turtles: Saturday Morning Adventures
http://www.wikidata.org/entity/Q726784,Джейк и пираты Нетландии,США,,,
http://www.wikidata.org/entity/Q727298,Wheelie and the Chopper Bunch,США,,,
http://www.wikidata.org/entity/Q601700,Команда «Спайк»,Италия,,,
http://www.wikidata.org/entity/Q717745,Шарки и Джордж,Канада,,,
http://www.wikidata.org/entity/Q285276,Лагерь Лазло,США,Энди Палей,,
http://www.wikidata.org/entity/Q734160,Салли Болливуд,Франция,,,
http://www.wikidata.org/entity/Q1125117,Зомби отель,Франция,,12+,
http://www.wikidata.org/entity/Q1129190,Leo and Fred,Венгрия,,,
http://www.wikidata.org/entity/Q734160,Салли Болливуд,Австралия,,,
http://www.wikidata.org/entity/Q736220,Погонщики динозавров,США,,,
http://www.wikidata.org/entity/Q719856,"Эд, Эдд и Эдди",Канада,,,
http://www.wikidata.org/entity/Q715777,Подземелье драконов,США,Джонни Дуглас,,
http://www.wikidata.org/entity/Q719872,Коровка и Петушок,США,Гай Мун,,
http://www.wikidata.org/entity/Q731276,A Kind of Magic,Франция,,,
http://www.wikidata.org/entity/Q734289,The Secret World of Benjamin Bear,Канада,,,
http://www.wikidata.org/entity/Q720473,Шаолиньские разборки,США,Кевин Мантей,,
http://www.wikidata.org/entity/Q735263,The Busy World of Richard Scarry,Канада,,,
http://www.wikidata.org/entity/Q249056,Черепашки мутанты ниндзя,США,Чак Лорри,,Teenage Mutant Ninja Turtles Adventures
http://www.wikidata.org/entity/Q230520,Назад в будущее,США,Майкл Тавера,,
http://www.wikidata.org/entity/Q277217,The Glo Friends,США,,,
http://www.wikidata.org/entity/Q1111001,Великолепная пятёрка,Франция,,0+,
http://www.wikidata.org/entity/Q278148,The Problem Solverz,США,,,
http://www.wikidata.org/entity/Q304290,"Ох, уж эти детки!",США,Kris Kross,,Карапузы в Париже
http://www.wikidata.org/entity/Q732217,Боб и Бобек,Чехия,Petr Skoumal,,
http://www.wikidata.org/entity/Q1129669,Cool McCool,США,Рон Гудвин,,
http://www.wikidata.org/entity/Q304290,"Ох, уж эти детки!",США,Kris Kross,,Карапузы
http://www.wikidata.org/entity/Q738186,Hungarian Folk Tales,Венгрия,Kaláka,,
http://www.wikidata.org/entity/Q283384,Атомная Бетти,Франция,,,
http://www.wikidata.org/entity/Q1068815,Умелец Мэнни,США,Фернандо Ривас,,
http://www.wikidata.org/entity/Q570247,Time Squad,США,Майкл Тавера,,
http://www.wikidata.org/entity/Q285690,The All-New Dennis the Menace,США,,,
http://www.wikidata.org/entity/Q576501,Гарфилд и его друзья,США,Дезире Гойетт,,
http://www.wikidata.org/entity/Q576501,Гарфилд и его друзья,США,Эд Богас,,
http://www.wikidata.org/entity/Q230520,Назад в будущее,Франция,Майкл Тавера,,
http://www.wikidata.org/entity/Q694101,Самурай Джек,США,Тайлер Бэйтс,12+,
http://www.wikidata.org/entity/Q706306,Scan2Go,Республика Корея,,,
http://www.wikidata.org/entity/Q283384,Атомная Бетти,Канада,,,
http://www.wikidata.org/entity/Q702388,Космический рыцарь и звёздные шерифы,Япония,Dale Schacker,,
http://www.wikidata.org/entity/Q583536,¡Mucha Lucha!,США,Майкл Тавера,,
http://www.wikidata.org/entity/Q268679,Железный человек,США,Кит Ноэль Эмерсон,,
http://www.wikidata.org/entity/Q580964,Bouli,Франция,,,
http://www.wikidata.org/entity/Q323335,Пингвины из Мадагаскара,США,Адам Берри,,The Penguins of Madagascar
http://www.wikidata.org/entity/Q705355,Mighty Max,США,,,
http://www.wikidata.org/entity/Q279189,Щенок по кличке Скуби-Ду,США,Джон Дебни,0+,
http://www.wikidata.org/entity/Q705355,Mighty Max,Франция,,,
http://www.wikidata.org/entity/Q705355,Mighty Max,Великобритания,,,
http://www.wikidata.org/entity/Q719146,G.I. Joe: A Real American Hero,США,Джонни Дуглас,,
http://www.wikidata.org/entity/Q701207,МАСКА,США,Хаим Сабан,,
http://www.wikidata.org/entity/Q1129669,Cool McCool,США,Бернард Грин,,
http://www.wikidata.org/entity/Q1129175,Ernest le Vampire,Франция,Габриэль Яред,,
http://www.wikidata.org/entity/Q276990,Драконы,США,Джон Песано,,
http://www.wikidata.org/entity/Q1111001,Великолепная пятёрка,Великобритания,,0+,
http://www.wikidata.org/entity/Q590166,Лило и Стич,США,Майкл Тавера,,
http://www.wikidata.org/entity/Q579082,Скуби и Скрэппи-Ду,США,,,Scooby-Doo and Scrappy-Doo
http://www.wikidata.org/entity/Q592347,Брэнди и Мистер Вискерс,США,Кевин Рипл,,
http://www.wikidata.org/entity/Q699596,Битвы Зверей,Канада,Роберт Бакли,,
http://www.wikidata.org/entity/Q1089174,Пёс Хакльберри,США,Хойт Куртин,,
http://www.wikidata.org/entity/Q702261,Звёздные войны: Дроиды,США,Стюарт Коупленд,,
http://www.wikidata.org/entity/Q1071161,Небесные рыцари,США,,,
http://www.wikidata.org/entity/Q275754,Далтоны,Франция,,,
http://www.wikidata.org/entity/Q300666,ААА! Настоящие монстры,США,Дрю Ньюманн,,
http://www.wikidata.org/entity/Q569934,Человек-паук,США,Шуки Леви,,
http://www.wikidata.org/entity/Q583830,Вокруг света за 80 снов,Франция,Хаим Сабан,,
http://www.wikidata.org/entity/Q701207,МАСКА,Франция,Хаим Сабан,,
http://www.wikidata.org/entity/Q1071161,Небесные рыцари,Канада,,,
http://www.wikidata.org/entity/Q583091,Чертёнок,Испания,,12+,
http://www.wikidata.org/entity/Q239766,Редакай,Франция,,,
http://www.wikidata.org/entity/Q1099587,Jamie and the Magic Torch,Великобритания,,,
http://www.wikidata.org/entity/Q249056,Черепашки мутанты ниндзя,США,Деннис Браун,,Teenage Mutant Hero Turtles in Turtle Challenge
http://www.wikidata.org/entity/Q583091,Чертёнок,Великобритания,,12+,
http://www.wikidata.org/entity/Q249056,Черепашки мутанты ниндзя,США,Деннис Браун,,Teenage Mutant Hero Turtles
http://www.wikidata.org/entity/Q1076646,13 призраков Скуби-Ду,США,,,
http://www.wikidata.org/entity/Q593269,Приключения Гулливера,США,,,
http://www.wikidata.org/entity/Q319197,Король Лев: Тимон и Пумба,США,Стивен Джеймс Тэйлор,,
